Day,Taylor Swift,Travis Kelce,Kansas City Chiefs
9/24/2023,80,61,82
9/25/2023,100,100,23
9/26/2023,65,63,8
9/27/2023,47,55,6
9/28/2023,43,33,8
9/29/2023,38,23,8
9/30/2023,35,19,9
10/1/2023,49,26,48
10/2/2023,92,57,100
10/3/2023,42,26,9
10/4/2023,32,18,7
10/5/2023,31,16,6
10/6/2023,32,18,7
10/7/2023,32,14,9
10/8/2023,58,33,72
10/9/2023,34,25,23
10/10/2023,24,13,7
10/11/2023,24,13,7
10/12/2023,45,17,28
10/13/2023,69,24,88
10/14/2023,76,12,9
10/15/2023,86,26,18
10/16/2023,55,19,8
10/17/2023,41,16,7
10/18/2023,34,10,6
10/19/2023,36,10,7
10/20/2023,41,10,7
10/21/2023,46,11,9
10/22/2023,68,25,77
10/23/2023,50,28,22
10/24/2023,41,20,8
10/25/2023,35,11,6
10/26/2023,37,9,6
