Day,Taylor Swift: (Kansas),Travis Kelce: (Kansas),Kansas City Chiefs: (Kansas)
9/24/2023,95,74,100
9/25/2023,100,100,23
9/26/2023,46,53,10
9/27/2023,31,48,9
9/28/2023,28,32,12
9/29/2023,25,23,11
9/30/2023,19,17,14
10/1/2023,30,26,51
10/2/2023,71,57,80
10/3/2023,24,24,10
10/4/2023,18,17,9
10/5/2023,15,19,10
10/6/2023,19,18,12
10/7/2023,19,19,18
10/8/2023,52,44,90
10/9/2023,22,28,23
10/10/2023,13,20,9
10/11/2023,13,15,11
10/12/2023,27,26,38
10/13/2023,56,39,77
10/14/2023,34,17,14
10/15/2023,48,44,22
10/16/2023,30,27,11
10/17/2023,23,22,10
10/18/2023,20,14,10
10/19/2023,21,23,13
10/20/2023,21,23,12
10/21/2023,26,16,16
10/22/2023,54,38,95
10/23/2023,40,43,21
10/24/2023,22,23,11
10/25/2023,23,13,10
10/26/2023,18,12,10
